id,name,state,lat,lng
autauga-county-al,Autauga County,AL,32.5349,-86.6427
baldwin-county-al,Baldwin County,AL,30.7275,-87.7226
barbour-county-al,Barbour County,AL,31.8696,-85.3932
bibb-county-al,Bibb County,AL,32.9986,-87.1265
blount-county-al,Blount County,AL,33.9809,-86.5674
bullock-county-al,Bullock County,AL,32.1005,-85.7157
butler-county-al,Butler County,AL,31.7524,-86.6803
calhoun-county-al,Calhoun County,AL,33.7714,-85.826
chambers-county-al,Chambers County,AL,32.9143,-85.392
cherokee-county-al,Cherokee County,AL,34.1759,-85.6038
chilton-county-al,Chilton County,AL,32.8479,-86.7188
choctaw-county-al,Choctaw County,AL,32.0198,-88.2632
clarke-county-al,Clarke County,AL,31.6767,-87.8308
clay-county-al,Clay County,AL,33.269,-85.8606
cleburne-county-al,Cleburne County,AL,33.6745,-85.5188
coffee-county-al,Coffee County,AL,31.4027,-85.9882
colbert-county-al,Colbert County,AL,34.7005,-87.8049
conecuh-county-al,Conecuh County,AL,31.4292,-86.9937
coosa-county-al,Coosa County,AL,32.9362,-86.2477
covington-county-al,Covington County,AL,31.2485,-86.4513
crenshaw-county-al,Crenshaw County,AL,31.7315,-86.3135
cullman-county-al,Cullman County,AL,34.1319,-86.8676
dale-county-al,Dale County,AL,31.4318,-85.611
dallas-county-al,Dallas County,AL,32.326,-87.1065
dekalb-county-al,DeKalb County,AL,34.4598,-85.8041
elmore-county-al,Elmore County,AL,32.5966,-86.1492
escambia-county-al,Escambia County,AL,31.1261,-87.1616
etowah-county-al,Etowah County,AL,34.0453,-86.0348
fayette-county-al,Fayette County,AL,33.7212,-87.7389
franklin-county-al,Franklin County,AL,34.4417,-87.8437
geneva-county-al,Geneva County,AL,31.0951,-85.8391
greene-county-al,Greene County,AL,32.8531,-87.9522
hale-county-al,Hale County,AL,32.7627,-87.6291
henry-county-al,Henry County,AL,31.5147,-85.2414
houston-county-al,Houston County,AL,31.1532,-85.3025
jackson-county-al,Jackson County,AL,34.7795,-85.9994
jefferson-county-al,Jefferson County,AL,33.5543,-86.8964
lamar-county-al,Lamar County,AL,33.7791,-88.097
lauderdale-county-al,Lauderdale County,AL,34.9014,-87.654
lawrence-county-al,Lawrence County,AL,34.5217,-87.311
lee-county-al,Lee County,AL,32.6011,-85.3555
limestone-county-al,Limestone County,AL,34.8101,-86.9814
lowndes-county-al,Lowndes County,AL,32.1547,-86.6501
macon-county-al,Macon County,AL,32.3859,-85.6927
madison-county-al,Madison County,AL,34.7631,-86.5502
marengo-county-al,Marengo County,AL,32.2477,-87.7895
marion-county-al,Marion County,AL,34.1366,-87.8871
marshall-county-al,Marshall County,AL,34.367,-86.3066
mobile-county-al,Mobile County,AL,30.7872,-88.2058
monroe-county-al,Monroe County,AL,31.5709,-87.3655
montgomery-county-al,Montgomery County,AL,32.2203,-86.2076
morgan-county-al,Morgan County,AL,34.4535,-86.8529
perry-county-al,Perry County,AL,32.6385,-87.2944
pickens-county-al,Pickens County,AL,33.2808,-88.0888
pike-county-al,Pike County,AL,31.8027,-85.9409
randolph-county-al,Randolph County,AL,33.2938,-85.4591
russell-county-al,Russell County,AL,32.2884,-85.1849
st.-clair-county-al,St. Clair County,AL,33.7157,-86.3146
shelby-county-al,Shelby County,AL,33.2643,-86.6607
sumter-county-al,Sumter County,AL,32.5911,-88.1988
talladega-county-al,Talladega County,AL,33.3801,-86.1659
tallapoosa-county-al,Tallapoosa County,AL,32.8624,-85.7975
tuscaloosa-county-al,Tuscaloosa County,AL,33.2896,-87.5251
walker-county-al,Walker County,AL,33.8033,-87.2973
washington-county-al,Washington County,AL,31.4076,-88.2078
wilcox-county-al,Wilcox County,AL,31.9893,-87.3082
winston-county-al,Winston County,AL,34.1492,-87.3737
apache-county-az,Apache County,AZ,35.3955,-109.4888
cochise-county-az,Cochise County,AZ,31.8796,-109.7512
coconino-county-az,Coconino County,AZ,35.8387,-111.7705
gila-county-az,Gila County,AZ,33.7997,-110.8117
graham-county-az,Graham County,AZ,32.9326,-109.8875
greenlee-county-az,Greenlee County,AZ,33.2152,-109.2402
la-paz-county-az,La Paz County,AZ,33.7294,-113.9816
maricopa-county-az,Maricopa County,AZ,33.349,-112.4915
mohave-county-az,Mohave County,AZ,35.7041,-113.758
navajo-county-az,Navajo County,AZ,35.3997,-110.3214
