cnty,state,name,age
aleutians-east-borough-ak,AK,Aleutians East Borough,86.9
aleutians-west-census-area-ak,AK,Aleutians West Census Area,77.75
anchorage-municipality-ak,AK,Anchorage Municipality,78.03469387755102
bethel-census-area-ak,AK,Bethel Census Area,78.73333333333333
bristol-bay-borough-ak,AK,Bristol Bay Borough,79.9
dillingham-census-area-ak,AK,Dillingham Census Area,83.25
fairbanks-north-star-borough-ak,AK,Fairbanks North Star Borough,78.10624999999999
haines-borough-ak,AK,Haines Borough,82.6
hoonah-angoon-census-area-ak,AK,Hoonah-Angoon Census Area,79.3
juneau-city-and-borough-ak,AK,Juneau City and Borough,81.16666666666666
kenai-peninsula-borough-ak,AK,Kenai Peninsula Borough,80.16666666666667
ketchikan-gateway-borough-ak,AK,Ketchikan Gateway Borough,79.85
kodiak-island-borough-ak,AK,Kodiak Island Borough,80.39999999999999
lake-and-peninsula-borough-ak,AK,Lake and Peninsula Borough,77.0
matanuska-susitna-borough-ak,AK,Matanuska-Susitna Borough,78.98695652173912
nome-census-area-ak,AK,Nome Census Area,82.2
north-slope-borough-ak,AK,North Slope Borough,78.55000000000001
northwest-arctic-borough-ak,AK,Northwest Arctic Borough,77.5
petersburg-borough-ak,AK,Petersburg Borough,84.6
prince-of-wales-hyder-census-area-ak,AK,Prince of Wales-Hyder Census Area,77.86666666666667
sitka-city-and-borough-ak,AK,Sitka City and Borough,79.0
skagway-municipality-ak,AK,Skagway Municipality,80.8
southeast-fairbanks-census-area-ak,AK,Southeast Fairbanks Census Area,77.85
valdez-cordova-census-area-ak,AK,Valdez-Cordova Census Area,80.96666666666667
wrangell-city-and-borough-ak,AK,Wrangell City and Borough,78.7
yukon-koyukuk-census-area-ak,AK,Yukon-Koyukuk Census Area,76.275
autauga-county-al,AL,Autauga County,75.32000000000001
baldwin-county-al,AL,Baldwin County,77.48275862068964
barbour-county-al,AL,Barbour County,73.97142857142856
bibb-county-al,AL,Bibb County,73.55
blount-county-al,AL,Blount County,76.07777777777777
bullock-county-al,AL,Bullock County,77.60000000000001
butler-county-al,AL,Butler County,73.3875
calhoun-county-al,AL,Calhoun County,73.13600000000001
chambers-county-al,AL,Chambers County,73.6111111111111
cherokee-county-al,AL,Cherokee County,74.08333333333333
chilton-county-al,AL,Chilton County,73.92222222222223
choctaw-county-al,AL,Choctaw County,74.7
clarke-county-al,AL,Clarke County,74.38750000000002
clay-county-al,AL,Clay County,74.6
cleburne-county-al,AL,Cleburne County,73.3
coffee-county-al,AL,Coffee County,76.5357142857143
colbert-county-al,AL,Colbert County,73.62857142857145
conecuh-county-al,AL,Conecuh County,73.46000000000001
coosa-county-al,AL,Coosa County,77.89999999999999
covington-county-al,AL,Covington County,74.93076923076923
