cnty,name,price,state
aleutians-east-borough-ak,Aleutians East Borough,288234,AK
aleutians-west-census-area-ak,Aleutians West Census Area,288234,AK
anchorage-municipality-ak,Anchorage Municipality,288234,AK
bethel-census-area-ak,Bethel Census Area,288234,AK
bristol-bay-borough-ak,Bristol Bay Borough,288234,AK
denali-borough-ak,Denali Borough,288234,AK
dillingham-census-area-ak,Dillingham Census Area,288234,AK
fairbanks-north-star-borough-ak,Fairbanks North Star Borough,194731,AK
haines-borough-ak,Haines Borough,288234,AK
hoonah-angoon-census-area-ak,Hoonah-Angoon Census Area,288234,AK
juneau-city-and-borough-ak,Juneau City and Borough,288234,AK
kenai-peninsula-borough-ak,Kenai Peninsula Borough,253472,AK
ketchikan-gateway-borough-ak,Ketchikan Gateway Borough,318971,AK
kodiak-island-borough-ak,Kodiak Island Borough,334412,AK
lake-and-peninsula-borough-ak,Lake and Peninsula Borough,288234,AK
matanuska-susitna-borough-ak,Matanuska-Susitna Borough,250094,AK
nome-census-area-ak,Nome Census Area,288234,AK
north-slope-borough-ak,North Slope Borough,288234,AK
northwest-arctic-borough-ak,Northwest Arctic Borough,288234,AK
petersburg-borough-ak,Petersburg Borough,261063,AK
prince-of-wales-hyder-census-area-ak,Prince of Wales-Hyder Census Area,288234,AK
sitka-city-and-borough-ak,Sitka City and Borough,288234,AK
skagway-municipality-ak,Skagway Municipality,288234,AK
southeast-fairbanks-census-area-ak,Southeast Fairbanks Census Area,288234,AK
valdez-cordova-census-area-ak,Valdez-Cordova Census Area,288234,AK
wade-hampton-census-area-ak,Wade Hampton Census Area,288234,AK
wrangell-city-and-borough-ak,Wrangell City and Borough,288234,AK
yakutat-city-and-borough-ak,Yakutat City and Borough,288234,AK
yukon-koyukuk-census-area-ak,Yukon-Koyukuk Census Area,288234,AK
autauga-county-al,Autauga County,214832,AL
baldwin-county-al,Baldwin County,248365,AL
barbour-county-al,Barbour County,102307,AL
bibb-county-al,Bibb County,133882,AL
blount-county-al,Blount County,251587,AL
bullock-county-al,Bullock County,67440,AL
butler-county-al,Butler County,77027,AL
calhoun-county-al,Calhoun County,117148,AL
chambers-county-al,Chambers County,73408,AL
cherokee-county-al,Cherokee County,130733,AL
chilton-county-al,Chilton County,133614,AL
choctaw-county-al,Choctaw County,161377,AL
clarke-county-al,Clarke County,100449,AL
clay-county-al,Clay County,103741,AL
cleburne-county-al,Cleburne County,125854,AL
coffee-county-al,Coffee County,135935,AL
colbert-county-al,Colbert County,117855,AL
conecuh-county-al,Conecuh County,74935,AL
coosa-county-al,Coosa County,111046,AL
covington-county-al,Covington County,100162,AL
crenshaw-county-al,Crenshaw County,82671,AL
cullman-county-al,Cullman County,148466,AL
dale-county-al,Dale County,101636,AL
dallas-county-al,Dallas County,59449,AL
dekalb-county-al,DeKalb County,111909,AL
elmore-county-al,Elmore County,188155,AL
escambia-county-al,Escambia County,99305,AL
etowah-county-al,Etowah County,104103,AL
fayette-county-al,Fayette County,83232,AL
franklin-county-al,Franklin County,92456,AL
geneva-county-al,Geneva County,90449,AL
greene-county-al,Greene County,82239,AL
hale-county-al,Hale County,99778,AL
henry-county-al,Henry County,110695,AL
houston-county-al,Houston County,137306,AL
jackson-county-al,Jackson County,115334,AL
jefferson-county-al,Jefferson County,163597,AL
lamar-county-al,Lamar County,78129,AL
lauderdale-county-al,Lauderdale County,140748,AL
lawrence-county-al,Lawrence County,123982,AL
lee-county-al,Lee County,217913,AL
limestone-county-al,Limestone County,199498,AL
lowndes-county-al,Lowndes County,79093,AL
macon-county-al,Macon County,56560,AL
madison-county-al,Madison County,228192,AL
marengo-county-al,Marengo County,99604,AL
marion-county-al,Marion County,90303,AL
marshall-county-al,Marshall County,148272,AL
mobile-county-al,Mobile County,142199,AL
monroe-county-al,Monroe County,80734,AL
montgomery-county-al,Montgomery County,109105,AL
morgan-county-al,Morgan County,160401,AL
perry-county-al,Perry County,161377,AL
pickens-county-al,Pickens County,102908,AL
pike-county-al,Pike County,121581,AL
