state_code,price
AK,288234
AL,161377
AR,142225
AZ,319888
CA,635055
CO,449182
CT,294046
DC,672910
DE,285750
FL,273094
GA,228599
HI,689945
IA,161290
ID,359546
IL,223455
IN,174901
KS,169388
KY,162358
LA,180661
MA,481088
MD,346091
ME,280437
MI,196088
MN,285690
MO,183031
MS,135743
MT,328826
NC,231166
ND,240841
NE,195635
NH,338281
NJ,382096
NM,232164
NV,338426
NY,353068
OH,170492
OK,143173
OR,409182
PA,217984
RI,344836
SC,210727
SD,230530
TN,212236
TX,228255
UT,408466
VA,311877
VT,279119
WA,478015
WI,216861
WV,113578
WY,263166
